SPEAKER_16 | 0:0:0.419 --> 0:0:13.463 |  Століттями Київська Русь перебувала в страху перед язичницькими богами і поставили на горі ідол Перуну, володарю Грому та Блискавки, і приносили йому жертви, називаючи богом своїм.
SPEAKER_17 | 0:0:14.206 --> 0:0:14.830 |  Дякую!
SPEAKER_16 | 0:0:18.256 --> 0:0:28.178 |  Та князь Володимир, повернувшись з Візантії, прийняв християнство на Русі і скинуто було ідолів, а жриців поганських вигнано з міста.
SPEAKER_17 | 0:0:34.608 --> 0:0:34.996 |  Дякую!
SPEAKER_16 | 0:0:35.215 --> 0:0:50.335 |  Руна прив'язали до коня і тягли через військи її. А гнані жреці і язичницькі знайшли прихисток свій у печерах та підземеллях. А нащадки їхні і до нині живуть поміж нас.
SPEAKER_04 | 0:0:59.920 --> 0:1:11.176 |  Давай-давай, Руслан! Усяка істота тікає, тоді або нещуєші постріли і спеціаліату! Оп-поті, оп-поті! Група людей у самому споті вурачки кидається вдома з усмуги!
SPEAKER_17 | 0:1:24.170 --> 0:1:24.980 |  Субтитрувальниця Оля Шор
SPEAKER_08 | 0:1:34.430 --> 0:1:36.421 |  Малюк, в порядок.
SPEAKER_09 | 0:1:53.313 --> 0:2:1.615 |  Послухай, Руслана, це тобі не бокс, а баскетбол. Ти мене зрозумів? Штрафний!
SPEAKER_05 | 0:2:6.290 --> 0:2:10.407 |  Ей, Джордан, ну давай-давай, митікаєм.
SPEAKER_20 | 0:2:10.627 --> 0:2:11.32 |  Субтитрувальниця Оля Шор
SPEAKER_01 | 0:2:11.32 --> 0:2:12.432 |  Ха-ха-ха!
SPEAKER_05 | 0:2:15.807 --> 0:2:19.621 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_02 | 0:2:22.287 --> 0:2:29.290 |  Привіт. О, малюк, ми попали в одну групу. Поїдемо разом на розкопки?
SPEAKER_05 | 0:2:29.932 --> 0:2:33.188 |  Кого я бачив? Ромео і Джульєтку?
SPEAKER_02 | 0:2:34.268 --> 0:2:36.175 |  Як ми не дістали твої приколи?
SPEAKER_05 | 0:2:40.816 --> 0:3:14.26 |  Вау, сонце. Так ми з тобою в одній групі. Ти, я, розкопки, природа, романтика. А хто з нами ще поїде? Та нехай хоч на лижах їде. Я з цим придурком нікуди не поїду. Катя, навіть і не думай. Нехай чим хоче, тим і добирається. Одні проблеми з цим дохляком будуть. Згадайте мої слова! Біта, ти завжди...
SPEAKER_12 | 0:3:14.26 --> 0:3:14.971 |  Не зриваєшся на мені.
SPEAKER_12 | 0:3:15.545 --> 0:3:16.709 |  Що я тобі зробив?
SPEAKER_02 | 0:3:17.114 --> 0:3:21.468 |  Так! Або всі їдемо разом, або кожен добирається так, як може і хоче.
SPEAKER_05 | 0:3:22.700 --> 0:3:24.843 |  Окей, тільки заради тебе.
SPEAKER_11 | 0:3:28.876 --> 0:3:34.23 |  Алло, малюк, ти де? Ми чекаємо тільки тебе.
SPEAKER_07 | 0:3:38.731 --> 0:3:40.47 |  До скільки його можна чекати?
SPEAKER_11 | 0:3:42.292 --> 0:3:43.102 |  Він вже десь в порядку.
SPEAKER_01 | 0:3:45.970 --> 0:3:49.42 |  О, біжить скаут!
SPEAKER_05 | 0:3:49.42 --> 0:3:57.985 |  Ти що, на війну зібрався? Все своє, ну що з собою?
SPEAKER_12 | 0:4:19.248 --> 0:4:19.805 |  Деаааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_12 | 0:4:20.328 --> 0:4:20.969 |  Можемо трохи...
SPEAKER_05 | 0:4:20.969 --> 0:4:31.702 |  Повільніше, а то можемо і не попасти на розкопки. А тебе ніхто не підає. Сиди і дуй дві дирки. А то в проляжнику поїдеш. День, дай газу.
SPEAKER_02 | 0:4:32.275 --> 0:4:35.566 |  Справді, скинь трохи швидкість.
SPEAKER_01 | 0:4:35.988 --> 0:4:39.59 |  Аккуратно, так як Расун'я просить, то я кидаю.
SPEAKER_16 | 0:4:52.846 --> 0:4:53.926 |  Це висновок.
SPEAKER_11 | 0:4:55.343 --> 0:4:59.596 |  Звідки вона взялась? Це кований знак.
SPEAKER_10 | 0:5:19.829 --> 0:5:21.635 |  Професор, коза в'їхати до кінця дороги?
SPEAKER_05 | 0:5:24.48 --> 0:5:24.824 |  що діться тут.
SPEAKER_01 | 0:5:36.535 --> 0:5:40.855 |  Ну, і де наш дорогий професор?
SPEAKER_05 | 0:5:40.855 --> 0:5:48.854 |  А може я взагалі не буду. Ми приїхали, а він собі на пляжі пивко потягує.
SPEAKER_16 | 0:5:53.5 --> 0:6:3.772 |  Вибачте за запізнення, ледве дібрався. А тепер, любі мої, збирайте речі і вперед. Стоп, стоп, а ми що ще не приїхали? Приїхати приїхали, але ще не прийшли.
SPEAKER_05 | 0:6:3.653 --> 0:6:5.813 |  Та я вас прошу, яка різниця, де рити?
SPEAKER_16 | 0:6:5.898 --> 0:6:6.860 |  Давай без молочок.
SPEAKER_05 | 0:6:8.497 --> 0:6:8.817 |  Субтитрувальниця Оля Шор
SPEAKER_16 | 0:6:48.35 --> 0:6:51.224 |  Все, прийшли. Зупинимось тут.
SPEAKER_02 | 0:6:52.51 --> 0:7:0.320 |  І все? Це тут? А я розмріялася. Думала, у нас справжня експедиція буде.
SPEAKER_16 | 0:7:0.488 --> 0:7:7.947 |  Не хвилюйся. Скучила за гостими почуттями, так? Я тобі її гарантую. Все, розбиваємо табір.
SPEAKER_06 | 0:7:18.308 --> 0:7:21.25 |  Дякую за перегляд!
SPEAKER_17 | 0:7:21.25 --> 0:7:21.346 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:7:30.982 --> 0:7:34.998 |  Я знайшла! Я знайшла! Обережно, дідько, обережно!
SPEAKER_10 | 0:7:48.953 --> 0:7:51.822 |  Обережно, дай.
