SPEAKER_06 | 0:0:33.224 --> 0:0:37.38 |  Дякую.
SPEAKER_19 | 0:0:41.780 --> 0:0:53.913 |  Михайсь! Мір, по мене теж ти хотів погуляти? Я хочу. Та ти вже дивився цю фігню. Я не хочу.
SPEAKER_01 | 0:0:53.963 --> 0:0:54.217 |  Дякую!
SPEAKER_19 | 0:0:56.56 --> 0:1:1.135 |  Міх, я тобі ще щось куплю.
SPEAKER_01 | 0:1:23.495 --> 0:1:25.13 |  А що ти мені купиш?
SPEAKER_19 | 0:1:25.435 --> 0:1:29.266 |  Не знаю, може іграшку якусь, може морозиво.
SPEAKER_01 | 0:1:34.936 --> 0:2:18.1 |  Ні, краще карточки про Людину-Паука. Так що, купиш карточки по льодзю на паукам? Ні, ця кофта дівчача, я не хочу.
SPEAKER_19 | 0:2:18.524 --> 0:2:20.785 |  Вона на дівчача, вона унісекс.
SPEAKER_18 | 0:2:29.71 --> 0:2:29.881 |  Пішли.
SPEAKER_01 | 0:2:32.362 --> 0:2:35.635 |  Так що купиш карточки про людину-паука?
SPEAKER_07 | 0:2:38.943 --> 0:2:40.715 |  Йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо-йо
SPEAKER_19 | 0:2:41.356 --> 0:2:43.550 |  Міх! Михась!
SPEAKER_13 | 0:2:51.42 --> 0:2:51.616 |  Добрий день.
SPEAKER_01 | 0:3:24.877 --> 0:3:43.85 |  Коля, там кошенятка. Коля, де там кошенятка? Що ти говориш? Ой, ну ти мені лишала картишки, бо людина паукава.
SPEAKER_18 | 0:4:18.505 --> 0:4:20.851 |  Йди до Кошеняка. Ура!
SPEAKER_30 | 0:6:49.942 --> 0:7:1.450 |  Здорово. Що за мала? Та не знаю. А вона цілка? Йдемо, пішли. Ти цілка? Пішли, пішли.
SPEAKER_35 | 0:7:4.758 --> 0:7:7.2 |  Чого дивишся? Пішла звідси.
SPEAKER_30 | 0:7:7.795 --> 0:7:9.398 |  Шой, а куди нам піти сьогодні?
SPEAKER_04 | 0:7:23.725 --> 0:7:29.969 |  Міх, Міха, Міху!
SPEAKER_19 | 0:7:40.465 --> 0:7:41.157 |  Ніха!
SPEAKER_18 | 0:8:34.381 --> 0:8:40.540 |  Вибачте. Вибачте, ви хлопчик, а руки вшисти, махався, так звичайно. Бачите? Ні, не бачила, що відбулось.
SPEAKER_21 | 0:9:23.183 --> 0:10:22.313 |  Господи, головне не збожеволюйте. Оль, мене вже руки трусяться.
SPEAKER_32 | 0:10:22.887 --> 0:10:23.647 |  Звичайно.
SPEAKER_21 | 0:10:27.629 --> 0:10:42.648 |  Оль, підійди сюди, будь ласка. Оль, підійди, коли я тебе кличу. Ти висів труситься.
SPEAKER_19 | 0:10:53.313 --> 0:10:54.612 |  Мамо, тобі не можна.
SPEAKER_21 | 0:10:58.747 --> 0:11:0.451 |  Це ще можна, але не треба.
SPEAKER_19 | 0:11:28.463 --> 0:11:28.885 |  Дякую.
SPEAKER_15 | 0:11:30.202 --> 0:11:31.771 |  Який тут мануяк?
SPEAKER_19 | 0:11:32.75 --> 0:11:32.648 |  А що це?
SPEAKER_15 | 0:11:33.425 --> 0:11:37.238 |  Це, ну скажи, як ви так могли?
SPEAKER_18 | 0:11:37.205 --> 0:11:48.747 |  Ти ж знаєш, в хасиках він сам побіг, там я якийсь кошенят побачив, там я його надолбав, він сам хотів.
SPEAKER_21 | 0:11:44.512 --> 0:12:1.758 |  Я не подумавши, я не подумавши, чуєш? Він сам хотів. Сарос, а чого ти там стоїш? Проходь. Чаю вип'єш. Ну, проходь.
SPEAKER_15 | 0:12:2.399 --> 0:12:3.563 |  Ну, давай на зараз.
SPEAKER_21 | 0:12:5.48 --> 0:12:6.10 |  Ну давай назад.
SPEAKER_18 | 0:12:39.305 --> 0:12:58.745 |  Ще й не став держслужбовцем, а вже так бухає. Мама теж могла в міністерство устроїтися. Але там хабарітер вибиратиме, а вона не хоче. Але недавно, уявляєш, він мені зателефонував і каже, знаєш, чого я тобі дзвоню? Така, ні, не знаю. Він такий, не здогадайся. Така, сам скажи. З айфону. І знов хоче.
SPEAKER_04 | 0:12:58.998 --> 0:13:1.597 |  Ми зберемося показати те, що ми покажемо.
SPEAKER_05 | 0:13:5.917 --> 0:13:7.908 |  До зустрічі!
SPEAKER_18 | 0:13:15.265 --> 0:13:15.974 |  Доброго дня!
SPEAKER_19 | 0:14:6.582 --> 0:14:7.426 |  Ма.
SPEAKER_21 | 0:14:9.29 --> 0:14:14.24 |  Коль, у нас гості.
SPEAKER_19 | 0:14:14.24 --> 0:14:14.699 |  Новини на Суспільному. Харків.
SPEAKER_21 | 0:14:16.623 --> 0:14:31.625 |  У нас Костянтин Андрійович, слідчий, він прийшов про Михасика поговорити. Оль, нічого страшного не трапилося, він просто прийшов з власної ініціативи для профілактики.
SPEAKER_17 | 0:14:34.240 --> 0:14:35.50 |  Добрий день, Оля.
SPEAKER_21 | 0:14:35.776 --> 0:14:36.451 |  Дякую за перегляд!
SPEAKER_17 | 0:14:39.117 --> 0:14:42.340 |  Оля, а ти могла би показати місце, де в останній раз бачила брата?
SPEAKER_18 | 0:14:43.252 --> 0:14:43.960 |  Могла.
SPEAKER_17 | 0:14:47.723 --> 0:14:48.314 |  Тоді пішли.
SPEAKER_21 | 0:14:49.327 --> 0:14:50.153 |  А мені з вами йти?
