SPEAKER_22 | 0:1:24.557 --> 0:1:25.350 |  Це Вовчик.
SPEAKER_06 | 0:1:26.937 --> 0:1:27.696 |  Я не поїду.
SPEAKER_22 | 0:1:28.894 --> 0:1:31.510 |  Наступне сонячне затемнення не скоро буде.
SPEAKER_19 | 0:1:39.660 --> 0:1:42.816 |  Там гори, висота.
SPEAKER_22 | 0:1:49.178 --> 0:1:56.721 |  Колись твій тато витяг мене у ті самі гори. Високо у мене ж голова закрутилась.
SPEAKER_06 | 0:1:57.565 --> 0:1:58.814 |  Так може, то навіть висоти.
SPEAKER_22 | 0:1:58.763 --> 0:2:18.220 |  Мабуть. Але я була ще та боягузка. Тож тато обійняв мене і сказав, не бійся, я поруч. Знаєш, я відчуваю, що він і досі поруч. Завжди.
SPEAKER_06 | 0:2:21.612 --> 0:2:22.253 |  Я знаю.
SPEAKER_22 | 0:2:34.943 --> 0:2:34.960 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:2:34.960 --> 0:2:43.600 |  – Та я вже вийшов! – Бутерброди! Та йду я, йду! Літак! Вовчик, я вже на вулиці!
SPEAKER_24 | 0:3:4.559 --> 0:3:22.615 |  О, Древні Духи, Камінь Сили поруч, я знаю. Допоможіть його знайти і поставити весь світ на колінах.
SPEAKER_15 | 0:3:48.974 --> 0:3:50.661 |  Рети!
SPEAKER_03 | 0:3:54.104 --> 0:4:3.857 |  Нормальний апарат. Де купив? Чувак, яке там купив? Це Вітя сам зробив. Заливаєш?
SPEAKER_06 | 0:4:5.39 --> 0:4:7.283 |  Сам зробив.
SPEAKER_18 | 0:4:7.283 --> 0:4:8.59 |  Ну добре.
SPEAKER_06 | 0:4:9.207 --> 0:4:9.224 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:4:9.224 --> 0:4:24.394 |  Генії. Тепер до самої гори без зупинок. Чи хтось хоче провдикати круте сонячне затемнення, яке буває раз на сто років? А? Ні! Порушіться!
SPEAKER_15 | 0:4:22.639 --> 0:4:23.466 |  Дякую!
SPEAKER_03 | 0:4:23.466 --> 0:4:48.880 |  Порушіться! Вінь, глянь, яка штука. А я темні окуляри взяв. А ну, давай. Те, от сонце погасне, і все. Капець. Тоді навіщо я тягнув усі ці петарди? Фіго ти!
SPEAKER_02 | 0:4:51.158 --> 0:5:1.148 |  Настане зомбі-апокаліпсис, а ми крутий феєрверк забацеємо. Справжнє зомбі-патті.
SPEAKER_06 | 0:5:1.148 --> 0:5:5.940 |  Зомбі-патіт, зомбі-вовчик. А це справжній апокаліпсис.
SPEAKER_18 | 0:5:11.442 --> 0:5:22.714 |  Народ, увага! Перед нами підвісний міст. Нічого складного немає, але запам'ятайте певні правила. За мною по одному, вниз не дивимось, питання є.
SPEAKER_15 | 0:5:23.18 --> 0:5:23.794 |  ЇЇІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІІ
SPEAKER_18 | 0:5:23.963 --> 0:5:24.537 |  Поряд!
