SPEAKER_23 | 0:1:19.6 --> 0:1:19.462 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:1:56.722 --> 0:2:6.509 |  Ну чого ти плачеш, два дні ми з тобою на річці, сидимо на корчені. Ловись рибка, малийка, малийка, це я тобі кажу, твій Хришин.
SPEAKER_15 | 0:2:6.897 --> 0:2:8.635 |  Дядь Льош, мені одразу.
SPEAKER_02 | 0:2:9.260 --> 0:2:16.27 |  Ну, що ти таке кажеш? Проста операція. Ми її зробимо за двадцять-тридцять хвилин. Чого ти боишся?
SPEAKER_23 | 0:2:16.465 --> 0:2:19.402 |  Не знаю, в інтернеті таке написано.
SPEAKER_17 | 0:2:19.908 --> 0:2:22.270 |  Бачу, як мусь зарана планшет подроба.
SPEAKER_33 | 0:2:22.996 --> 0:2:25.460 |  Ще одне. А стежку померли?
SPEAKER_29 | 0:2:25.831 --> 0:2:31.636 |  Зовсім проста операція, так? Як же ти міг? Як ти міг?
SPEAKER_28 | 0:2:32.412 --> 0:2:37.525 |  Який же ти хрещенець, вбивця ти от хто? Будь ти проклятий!
SPEAKER_11 | 0:2:40.40 --> 0:2:42.773 |  Не могла бути це твоя помилка, не могла.
SPEAKER_09 | 0:2:46.351 --> 0:2:47.347 |  Ізвільняюсь, Коля.
SPEAKER_11 | 0:2:48.899 --> 0:2:53.894 |  Але, Леша, я знаю, він був тобі як син, але, Леша, от тебе завтра три операції.
SPEAKER_22 | 0:3:8.862 --> 0:3:58.745 |  Дякую за перегляд! Ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух, ух,
SPEAKER_32 | 0:4:3.993 --> 0:4:6.187 |  Там багато людей було. Маринка наша була.
SPEAKER_30 | 0:4:5.765 --> 0:4:7.604 |  Ей, алло, куди прешні?
SPEAKER_32 | 0:4:6.912 --> 0:4:12.970 |  Не трогай його, розпишись. Малюсю...
SPEAKER_05 | 0:4:12.970 --> 0:4:13.679 |  Дякую за перегляд!
SPEAKER_30 | 0:4:38.958 --> 0:4:54.280 |  Ти де стоїш, алкаш, сраний? Глухий ти! Побивайся ти! Вийшло воно тут! Звали звідси!
SPEAKER_12 | 0:5:38.797 --> 0:5:40.433 |  Друже, я можу вам чомусь допомогти?
SPEAKER_17 | 0:5:41.92 --> 0:5:42.205 |  Ні, дякую, все добре.
SPEAKER_12 | 0:5:43.606 --> 0:5:45.682 |  Стоїмо легко, зараз можете застудитись.
SPEAKER_30 | 0:6:20.596 --> 0:6:23.330 |  Так що? Так що там? Скільки у нього пам'яті було?
SPEAKER_08 | 0:6:24.224 --> 0:6:40.964 |  Та зачекай, давай хоча б з парку вийти. Ну ладно, ну скажи, ну скільки, ну може і два. Чувак, да нормально, нормально. Ну сто двісті, ну скільки, ну скільки, ну скажи мені, будь ласка. Ну сто вісімдесят баксовий.
SPEAKER_15 | 0:6:40.964 --> 0:6:43.23 |  Ти статте гривень.
SPEAKER_24 | 0:6:43.23 --> 0:6:47.56 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
