SPEAKER_18 | 0:1:36.860 --> 0:1:37.484 |  Дякую!
SPEAKER_15 | 0:4:22.66 --> 0:4:31.516 |  Дякую за перегляд!
SPEAKER_14 | 0:4:33.929 --> 0:5:21.145 |  Фух! Кляті москалі! Зараза така! Знаєш, що це все означає?
SPEAKER_11 | 0:5:23.710 --> 0:5:30.89 |  Здогадуюсь, ти залишилася без м'яса. Без м'яса я залишилася.
SPEAKER_14 | 0:5:29.633 --> 0:5:30.38 |  Редактор субтитров О.Голубкина Коректор А.Егорова
SPEAKER_11 | 0:5:30.106 --> 0:5:33.25 |  Без м'яса. Без хурого падла, мамо.
SPEAKER_14 | 0:5:34.595 --> 0:5:40.28 |  Це не хоре падло. Це смачніше м'ясо на світі. Я його їм, сучі неправді.
SPEAKER_07 | 0:5:40.28 --> 0:5:42.37 |  Потріп, пулі за всі мені силки.
SPEAKER_14 | 0:5:43.842 --> 0:5:53.545 |  Це не він. Ага, м'яле ось спустилося з небесі і поризало мої петлі. Щоб ти йому ноги повикручувала, воно ж так.
SPEAKER_11 | 0:5:55.283 --> 0:6:15.398 |  А ти дільничий. Та дільничий вислідив тебе і порізав усе, аби знала, як закон порушувати. Потому що за законом не можна в наших лізах полювать, всяку заразу жрать. Відкуда ти закони почала? Про це на кожному кроці отакеними буквами написано для особосліпих.
SPEAKER_14 | 0:6:19.988 --> 0:6:33.978 |  Там такими буквами написано, що тут не тільки полювати не можна, тут жити не можна. Ти живеш. І внучка падлу приперла. Скотина така. Що ти хочеш від мене, а?
SPEAKER_11 | 0:6:33.978 --> 0:6:50.448 |  Щоб ти йому пістонів вставила. Він твій онук, сама й вставляй. Нє. Спочатку він твій син. І шо ж він мій син? Він же дорослий.
SPEAKER_14 | 0:7:1.12 --> 0:7:3.796 |  А що ти грубо зрізуєш, Славка?
SPEAKER_11 | 0:7:4.117 --> 0:7:4.808 |  Почалося.
SPEAKER_14 | 0:7:5.467 --> 0:7:24.940 |  Тебе шо, дві ляві руки чи шо? Мить, отстань. Я тебе шо, втак вчила? Наказав мене господь не знаю за що. Правильно, шо чоловік тебе кинув? Ой, правильно. Добре. Я з ним поговорю. Правильно, дай йому як слід, бісове дитя.
SPEAKER_11 | 0:7:29.986 --> 0:7:45.173 |  Мати, ти шо таке говориш, а? Шо ти мелець такий? Господи, Вовка і твій онук. І в ньому тече твоя кров, і в ньому твоя плоть. І буде так завжди, і вовеки віков.
SPEAKER_14 | 0:7:46.118 --> 0:8:0.7 |  Вовеки в віку. Налякала. Помру я скоро!
