SPEAKER_19 | 0:1:10.619 --> 0:1:11.277 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:1:11.277 --> 0:1:11.378 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:1:11.378 --> 0:1:51.35 |  Субтитрувальниця Оля Шор Дякую за перегляд!
SPEAKER_09 | 0:2:7.454 --> 0:2:16.752 |  Ой, мой, мой, який же ти тяжкий, як тобою, Грену, цей паниці розлетівся.
SPEAKER_19 | 0:2:58.973 --> 0:3:24.944 |  Субтитрувальниця Оля Шор
SPEAKER_29 | 0:3:48.333 --> 0:3:48.350 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:3:48.350 --> 0:6:32.290 |  Та цю ногу сапаєш, кривчий, не ти її слиною вимивай. Не бійся, вигниєш ти і сам випадеш. Я не маю часу з тобою панькатись. Дякую за перегляд! Субтитрувальниця Оля Шор Субтитрувальниця Оля Шор Субтитрувальниця Оля Шор Ой, не гавкай над моєю головою, лети собі геть до неба, і скажи твому Богове, що ти не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов, не вийшов,
SPEAKER_10 | 0:6:32.290 --> 0:6:32.307 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:6:32.695 --> 0:6:32.965 |  Найменше.
SPEAKER_10 | 0:6:32.965 --> 0:6:35.227 |  мені дурну птаху не посилає зі співом.
SPEAKER_27 | 0:6:35.227 --> 0:6:35.260 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:6:36.560 --> 0:6:37.32 |  Коли такі...
SPEAKER_27 | 0:6:37.32 --> 0:6:37.943 |  Він боцький.
SPEAKER_10 | 0:6:37.977 --> 0:6:38.11 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:6:38.11 --> 0:6:58.615 |  Най мене в Канаду не засилає! Най мене твій Бог з півенками не гулить! Забирайся!
SPEAKER_18 | 0:7:16.503 --> 0:7:46.169 |  — Та не сіпай хоч ти мене, бо так життє мене насіпало, що ледве стою на ногах. Я тобі до світа сиплю овес, ще сам нічого не ївши. Я тебе старими сльозами поливаю, а ти кусаєш. Ось тут цілий жмут мого волосся вірвав, ти пустив під ноги в гній.
SPEAKER_19 | 0:8:3.618 --> 0:8:14.789 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:8:21.387 --> 0:8:56.825 |  Ти, Боже, не захмурюйся на старого, Що він забор зробить полудне. Во старому нема чим ходити, Ти краще насип студеної росини Мій сивий волос, бо він пече мене, Кожний, як розжарений дріт. Голова моя палиться від того вогню.
SPEAKER_29 | 0:9:3.710 --> 0:9:6.916 |  Сиве волосся, пали землю.
SPEAKER_18 | 0:9:6.916 --> 0:9:11.725 |  Бо я вже не годин тебе двигати.
SPEAKER_29 | 0:9:11.725 --> 0:9:11.776 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:9:11.776 --> 0:9:11.793 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:9:26.896 --> 0:9:28.94 |  Субтитрувальниця Оля Шор
SPEAKER_20 | 0:11:35.78 --> 0:11:45.35 |  Папа! Папа! Папа!
SPEAKER_18 | 0:11:49.642 --> 0:11:53.185 |  Та немає чоловічі тої гадки, аби я тебе живим з рук пустив.
SPEAKER_09 | 0:11:53.185 --> 0:11:53.202 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:12:15.157 --> 0:12:18.548 |  Затому і собі кров, чоловіче, бо вся витече.
SPEAKER_12 | 0:12:24.488 --> 0:12:24.505 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:12:24.505 --> 0:12:24.573 |  Дякую.
SPEAKER_12 | 0:12:24.573 --> 0:12:25.720 |  Времені води, гадаю.
SPEAKER_04 | 0:12:26.581 --> 0:12:27.998 |  Дам тобі води.
SPEAKER_18 | 0:12:27.998 --> 0:12:31.711 |  Кріпий сік.
SPEAKER_22 | 0:12:32.926 --> 0:12:33.280 |  До зустрічі!
SPEAKER_18 | 0:12:33.247 --> 0:12:34.664 |  Знаєш, що ти би чекає?
SPEAKER_22 | 0:12:55.842 --> 0:12:58.323 |  А ти, я бачу, моцний газда.
SPEAKER_29 | 0:13:0.128 --> 0:13:1.343 |  Ще моцні не буря.
SPEAKER_18 | 0:13:11.232 --> 0:13:12.818 |  Ти не добре трапив на мене.
SPEAKER_22 | 0:13:18.590 --> 0:13:20.41 |  А натуру мою шміку.
SPEAKER_18 | 0:13:21.998 --> 0:13:28.613 |  Я м'який, але злодія живого з рук не пускаю.
SPEAKER_22 | 0:13:29.373 --> 0:13:30.723 |  Та я вже маю тут зарібати.
SPEAKER_18 | 0:13:30.723 --> 0:13:46.805 |  Або я знаю, чи ти твердий, чи м'який. Коли твердий, то мусиш витримати. Затамуй собі кров. Ну що?
SPEAKER_22 | 0:13:48.138 --> 0:13:57.436 |  Аби гірше боліло, як битимеш.
SPEAKER_18 | 0:13:57.436 --> 0:13:57.824 |  Кроу.
SPEAKER_22 | 0:13:58.617 --> 0:13:58.634 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:13:58.634 --> 0:13:59.647 |  то є самобільний.
SPEAKER_17 | 0:14:0.322 --> 0:14:0.507 |  Дякую.
SPEAKER_18 | 0:14:0.507 --> 0:14:14.7 |  Так я буду бити, тому суть боліти, хіба дух спустиш. І Бога не побоїться. А ти Бога боявся, як ліз у комору? То там весь мій побиток.
SPEAKER_27 | 0:14:14.783 --> 0:14:19.492 |  Та якби ти все то забрав, то ти б мене на віки вічні скалічив.
SPEAKER_18 | 0:14:19.492 --> 0:14:21.567 |  Я все не збирував, щоб сплатити.
SPEAKER_27 | 0:14:21.567 --> 0:14:21.635 |  Дякую.
SPEAKER_18 | 0:14:21.635 --> 0:14:21.702 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:14:21.702 --> 0:14:21.736 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:14:21.888 --> 0:14:21.938 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:14:21.938 --> 0:14:22.799 |  За Канадою він.
SPEAKER_17 | 0:14:30.308 --> 0:14:39.353 |  — Слава Ісу! — Навіки слава! У вас щось зловелося.
SPEAKER_18 | 0:14:39.607 --> 0:14:44.585 |  Зловилася. Прийшов гість, та й треба його приймати.
SPEAKER_04 | 0:14:45.715 --> 0:14:47.285 |  Нема балака, ніщо треба.
SPEAKER_18 | 0:14:50.710 --> 0:14:55.30 |  Сідайте та вибачайте, що зіпсував вам ночі.
SPEAKER_22 | 0:15:4.295 --> 0:15:6.860 |  Це він на землі. Він.
SPEAKER_18 | 0:15:11.28 --> 0:15:12.23 |  Малости, доста...
SPEAKER_02 | 0:15:12.23 --> 0:15:12.631 |  Дякую за перегляд!
SPEAKER_18 | 0:15:12.631 --> 0:15:14.116 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:15:14.116 --> 0:15:15.736 |  Закид до хати в кігли.
SPEAKER_18 | 0:15:17.52 --> 0:15:55.426 |  Дужий, але на дужчого трапив. Сідайте. Сідайте за стіл, та й гостя просіть. Та ви і в хаті мали з ним суперечку? Та хотів мене заголомшити. Як угрів кулаком, то тут скажу вам, що було падати. Але я намацав Поліна коло себе і морснув його. Та ви йому не дивуйтеся.
SPEAKER_30 | 0:15:58.683 --> 0:15:58.700 |  Субтитрувальниця Оля Шор
