SPEAKER_09 | 0:0:36.329 --> 0:0:38.67 |  Можемо починати, пані доктор.
SPEAKER_14 | 0:0:54.385 --> 0:0:55.195 |  Пане докторе!
SPEAKER_09 | 0:0:55.195 --> 0:0:55.212 |  Субтитрувальниця Оля Шор
SPEAKER_28 | 0:1:19.968 --> 0:1:24.271 |  Неразом! Вибивайте лампи!
SPEAKER_14 | 0:1:35.290 --> 0:1:39.577 |  Ось це викривлене жахом обличчя доктора Анґера я насправді ніколи не бачила.
SPEAKER_28 | 0:1:40.707 --> 0:1:41.770 |  Вертайся!
SPEAKER_14 | 0:1:43.171 --> 0:2:17.56 |  Так я собі його уявляю. Це легше, ніж пригадати своїх батьків. Вони загинули у цій пожежі разом з дружиною доктора. А це ми. Порятовані нашими сусідами. Аделя. Його рідна донька. І я. Моє ім'я Стефанія Чорненько. Донька просто людині. Я служнити. І це моя історія.
SPEAKER_22 | 0:2:31.636 --> 0:2:32.24 |  Дякую.
SPEAKER_28 | 0:2:32.24 --> 0:2:32.260 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:2:32.260 --> 0:2:32.851 |  Дякую.
SPEAKER_28 | 0:2:32.851 --> 0:2:32.918 |  Дякую!
SPEAKER_22 | 0:2:32.918 --> 0:2:33.37 |  Дякую.
SPEAKER_28 | 0:2:33.37 --> 0:2:33.222 |  Дякую.
SPEAKER_22 | 0:2:33.222 --> 0:2:33.290 |  Субтитрувальниця Оля Шор
SPEAKER_28 | 0:2:35.855 --> 0:2:41.542 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:2:55.25 --> 0:3:6.61 |  Спочатку із синагоги у Бродах зникає Золотий Керк, потім Патяна у Миколинцях, тепер от Остенсорі із костелу Святої Анни. Стільки злодій вішахраїв, що на вулицю страшно.
SPEAKER_21 | 0:3:6.449 --> 0:3:9.166 |  Як вона? Життя займати місце? Арнольд, бачу.
SPEAKER_20 | 0:3:15.89 --> 0:3:17.333 |  – Перепрошую. – Дякую.
SPEAKER_14 | 0:3:31.812 --> 0:3:32.420 |  Нарешті.
SPEAKER_28 | 0:3:58.559 --> 0:3:58.930 |  Дякую.
SPEAKER_14 | 0:4:12.565 --> 0:4:13.527 |  Давай поміняємось.
SPEAKER_21 | 0:4:13.865 --> 0:4:14.84 |  Прошу.
SPEAKER_14 | 0:4:15.198 --> 0:4:16.261 |  Мені нічого не видно.
SPEAKER_21 | 0:4:16.784 --> 0:4:18.910 |  Але якщо ми поміняємось, то мені нічого не буде видно.
SPEAKER_14 | 0:4:19.147 --> 0:4:20.750 |  Звичайно. Але дивися.
SPEAKER_34 | 0:4:20.750 --> 0:4:24.766 |  Поступи сі, прошу.
SPEAKER_21 | 0:4:26.403 --> 0:4:29.677 |  Гадайте, ми не професіонально поступаємо з цією місцем.
SPEAKER_34 | 0:4:32.579 --> 0:4:34.385 |  Лише єдиний раз прошу.
SPEAKER_21 | 0:4:36.477 --> 0:4:38.519 |  Наталю, вона служниця. Що інші подумають?
SPEAKER_14 | 0:4:50.737 --> 0:5:7.578 |  Перепрошую. Чи могла б ласкава пані зняти цю конструкцію? Прошу. Мені нічого не видно, а мій пан заплатив за квиток. І хоче, щоб його служниця десь щось побачила. Домашня служба Адель Анґер зовсім розпестила.
SPEAKER_09 | 0:5:7.578 --> 0:5:7.831 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:5:7.831 --> 0:5:7.865 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:5:7.865 --> 0:5:19.255 |  Ви хочете від панянки, яка взяла шлюб з русским трунарем в театр вишиванці?
SPEAKER_08 | 0:5:19.255 --> 0:5:19.795 |  Дякую.
SPEAKER_28 | 0:5:19.795 --> 0:5:19.812 |  Субтитрувальниця Оля Шор
SPEAKER_08 | 0:5:20.116 --> 0:5:20.656 |  Чи не після?
SPEAKER_21 | 0:5:26.765 --> 0:5:29.110 |  Перепрошую, ми не хотіли вам заважати.
SPEAKER_14 | 0:5:30.410 --> 0:5:31.962 |  Всі сходять на пси.
SPEAKER_13 | 0:5:31.962 --> 0:5:31.996 |  Субтитрувальниця Оля Шор
SPEAKER_34 | 0:5:33.599 --> 0:5:34.392 |  Дякую.
SPEAKER_19 | 0:8:25.387 --> 0:8:29.82 |  І як я маю йти? Стефан, допоможе?
SPEAKER_21 | 0:8:29.572 --> 0:8:31.40 |  Дай, Стефі, на соло дивись.
SPEAKER_19 | 0:8:31.40 --> 0:8:31.124 |  Дякую!
SPEAKER_21 | 0:8:31.124 --> 0:8:33.757 |  Після смаком дивогляд того витоща.
SPEAKER_19 | 0:8:31.445 --> 0:8:32.18 |  Дякую за перегляд!
SPEAKER_28 | 0:8:32.18 --> 0:8:32.69 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:8:40.861 --> 0:8:45.147 |  Відолашна акторка. Співіть про дочі мою. Я, напевно, не засну нині.
SPEAKER_21 | 0:9:45.273 --> 0:9:46.555 |  Що вона приймає для сну?
SPEAKER_27 | 0:9:55.178 --> 0:9:55.364 |  Угу.
SPEAKER_21 | 0:9:59.228 --> 0:10:2.958 |  До речі, завтра на обід до нас прийде новий парух. Ти ж постараєшся, так?
