SPEAKER_08 | 0:0:31.520 --> 0:0:37.477 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:1:11.969 --> 0:1:38.935 |  Але теж є люди. Наверне, дивляться на нас? Звісно є і звісно дивляться. Але краще самим подивитися на себе, щоб зрозуміти, хто ми такі і де наше коріння. Отже, продовжуємо. Греки. Греки побудували в центрі Ніжина комплекс споруд. Всіх Святську, подивіться. Потам у глибині Троїцьку і Михайлівську церкву. Також неподалік стояла найвища в Ніжині Дзвіниця, котра, на жаль, до наших днів не збереглася. Саме греки…
SPEAKER_08 | 0:1:36.961 --> 0:1:37.62 |  Дякую за перегляд!
SPEAKER_02 | 0:1:38.969 --> 0:1:42.23 |  Найбільш відчайно з ласками залипіли.
SPEAKER_14 | 0:1:42.23 --> 0:1:42.57 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:1:43.508 --> 0:1:45.871 |  Саме греки побудували в місті першу кав'ярню.
SPEAKER_08 | 0:1:45.213 --> 0:1:45.803 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:1:50.849 --> 0:2:8.804 |  Вибачте, я на хвилинку. Привіт, Юра. Що сталось? Щось термінове? Бо в мене екскурсія.
SPEAKER_14 | 0:2:9.327 --> 0:2:10.255 |  Сядь, Мишенько, молоке.
SPEAKER_02 | 0:2:10.745 --> 0:2:12.803 |  Юра, мені зараз ніколи, на мене діти чекають.
SPEAKER_14 | 0:2:12.803 --> 0:2:17.5 |  Христи, сядь, кажу, зараз в машину, бо я ще свою екскурсію призгиняю. Очень быстро. Очень.
SPEAKER_02 | 0:2:35.112 --> 0:2:36.985 |  Ну що, багато слів вивчив за цей тиждень?
SPEAKER_14 | 0:2:37.2 --> 0:2:37.812 |  Є звісно.
SPEAKER_02 | 0:2:42.571 --> 0:2:44.140 |  Юра, ти що випив?
SPEAKER_00 | 0:2:45.338 --> 0:2:52.848 |  Ну про що не хочеш безбалахати?
SPEAKER_14 | 0:2:52.848 --> 0:2:54.552 |  Скажи мені, так чи ні?
SPEAKER_02 | 0:2:55.565 --> 0:2:57.404 |  Юра, не треба мене змушувати.
SPEAKER_14 | 0:2:57.607 --> 0:3:0.712 |  Ти що не зрозуміла? Я хочу почути тільки одне, так чи ні?
SPEAKER_02 | 0:3:0.965 --> 0:3:2.720 |  Юра, не поняла, а зрозуміла.
SPEAKER_14 | 0:3:3.40 --> 0:3:6.668 |  Бля, нехай мене заробчать, я на твоїй школі, щоб ти розуміла! Так чи ні?
SPEAKER_02 | 0:3:9.942 --> 0:3:12.980 |  Юра, я не хочу таким чином з тобою розмовляти. Ти п'яний.
SPEAKER_14 | 0:3:13.132 --> 0:3:29.500 |  Який, блядь, п'яний? Я уставший! Я всю неділю по Чернігіві таксірував, а от туди, одразу до тебе, розумієш? І взагалі, блядь, похер! П'яний, а тверезий! Ти мені вже пів року голову морочиш, дівчинка! Вже воно літо закінчиться, а ми вже давно з тобою могли свадьбу зіграти!
SPEAKER_02 | 0:3:29.973 --> 0:3:31.154 |  Юра, відчини двері.
SPEAKER_14 | 0:3:31.103 --> 0:3:40.705 |  Я терпів. Я довго терпів. Ждав, поки ти там на своїх морях побудеш. І взагалі, хір не з ким ти там була на тих морях.
SPEAKER_02 | 0:3:40.908 --> 0:3:44.587 |  Юра, не твоя справа, де і з ким я була. Я не твоя власність.
SPEAKER_14 | 0:3:44.823 --> 0:3:59.943 |  Що? Не моя власність? А хто ти, блядь? Хто ти, блядь, дівчинка? Що, ти думаєш, офігітельна столічна інтелігентка, так? Умна, образована. А я грязний ніжинський жлоб? Юра, відчини двері.
SPEAKER_02 | 0:3:58.660 --> 0:3:58.711 |  Дякую!
SPEAKER_14 | 0:3:59.977 --> 0:4:11.165 |  Да, пускай я буду жлоб, пускай я буду жлоб. Но я щоб ти понимала за цих полгода, що ми з тобою познакомились, не до одної девочки не підійшов, не до одної. Бо я вважав, що це буде зміна. Понимаєш?
SPEAKER_02 | 0:4:10.658 --> 0:4:28.124 |  Так, Юра, досить, припини. Я ніколи нічого тобі не обіцяла і ні в чому не присягалася. Так, ми багато часу провели разом, бо ти цікавився тим, чим я могла тобі допомогти. Я ціную твої почуття до мене, але я не впевнена в своїх.
SPEAKER_14 | 0:4:28.327 --> 0:5:11.206 |  Та бля, а що там треба бути впевненим, що там треба бути впевненим чи що, ти мені нравишся, я не думаю про яку там впевненість, не думаю, я хочу просто щоб ти була зі мною, от і все, я в будь-який момент готовий на тобі женитися, от де впевненість, от де почуття, розумієш? От шо ти мовчиш? От шо ти бля,всегда в нужний момент мовчиш,а? Я більше не можу чекати! Так кажи зараз,виїдеш за мене заміж чи ні?От то зараз мені кажи!
SPEAKER_02 | 0:5:12.674 --> 0:5:16.403 |  Юра, ти мені подобаєшся як людина, як друг.
SPEAKER_14 | 0:5:16.454 --> 0:5:17.922 |  Все, тихо, нічого не хочу відчути.
SPEAKER_02 | 0:5:19.205 --> 0:5:19.525 |  Звісно.
SPEAKER_14 | 0:5:24.31 --> 0:5:24.470 |  Шо це?
SPEAKER_02 | 0:5:25.313 --> 0:5:25.668 |  Юра.
SPEAKER_14 | 0:5:26.326 --> 0:5:28.857 |  Блять, не Юра, я тебе спрашую, шо це?
SPEAKER_02 | 0:5:29.448 --> 0:5:30.22 |  Цитиськи.
SPEAKER_14 | 0:5:31.17 --> 0:5:32.603 |  Диски? Откуда вони в мене?
SPEAKER_02 | 0:5:33.768 --> 0:5:34.713 |  Ну ти ж сам знаєш.
SPEAKER_14 | 0:5:34.747 --> 0:5:37.261 |  АТКУДА БЛЯ ВОНИ В МЕНЕ СКАЖИ МЕНІ АТКУДА
SPEAKER_02 | 0:5:37.936 --> 0:5:39.303 |  Я тобі дала послухати.
SPEAKER_14 | 0:5:39.978 --> 0:5:50.508 |  Дала послухати. Подарила. Ти мені їх подарила, ти чувствуєш разницю? Я їх слухаю віздє. В лісі, в полі, в Чернігові. Всю дорогу слухаю, понимаєш?
SPEAKER_02 | 0:6:36.391 --> 0:6:44.457 |  Юра, ти ж сам розумієш, ми не можемо бути парою.
SPEAKER_14 | 0:6:44.457 --> 0:6:45.98 |  Дякую за перегляд!
SPEAKER_02 | 0:6:45.98 --> 0:6:45.284 |  Дякую!
SPEAKER_14 | 0:6:45.284 --> 0:6:45.453 |  Дякую за перегляд!
SPEAKER_02 | 0:6:45.453 --> 0:6:45.537 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:6:48.828 --> 0:6:52.169 |  Я сказав, блядь, нахер з машини! Зараз же, бігом!
SPEAKER_08 | 0:6:52.169 --> 0:6:52.658 |  Машина.
SPEAKER_02 | 0:7:0.893 --> 0:7:7.643 |  Хрістина Васильівна, що з вами? Все нормально, дійди додому. Діти, розходьтесь.
SPEAKER_10 | 0:8:6.622 --> 0:8:8.309 |  А здоров'я тебе не вчила?
SPEAKER_03 | 0:8:14.975 --> 0:8:44.287 |  Гоняк! Що ти тут ходиш? Викаплужуєшся! Ходи! Ходи! Ходи, дівчата! Ходи! Ходи! Ходи, дівчата! Ходи! Ходи! Ходи, дівчата! Ходи! Ходи! Ходи, дівчата! Ходи! Ходи, дівчата! Ходи! Ходи! Ходи, дівчата! Ходи! Ходи! Ходи, дівчата! Ходи! Ходи, дівчата! Ходи! Ходи, дівчата! Ходи! Ходи, дівчата! Ходи! Ходи, дівчата! Ходи! Ходи, дівчата! Ходи! Ходи, дівчата! Ходи! Ходи, дівчата!
SPEAKER_04 | 0:8:43.747 --> 0:8:44.405 |  Два мірота!
SPEAKER_03 | 0:8:44.405 --> 0:8:44.422 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:8:44.422 --> 0:8:52.606 |  Відпомогла б, що не буде, що робить? Лежить і трутить! Дякую за перегляд!
SPEAKER_03 | 0:8:45.755 --> 0:8:45.839 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:8:53.281 --> 0:8:53.753 |  Найбільше новини на Суспільному.
SPEAKER_10 | 0:8:55.19 --> 0:8:58.107 |  О, трахів це создання! І воно ще приїхало, що до дітей чує!
SPEAKER_02 | 0:8:58.310 --> 0:8:59.525 |  Та я ж не навмисна.
SPEAKER_10 | 0:8:59.153 --> 0:9:1.567 |  і декабру ти закроєшся і не покажеш мені.
SPEAKER_02 | 0:8:59.558 --> 0:9:2.309 |  Папа, не закройся і не покажеш мені!
SPEAKER_10 | 0:9:2.309 --> 0:9:3.642 |  Воно ж онавкується!
SPEAKER_15 | 0:9:2.326 --> 0:9:11.945 |  Воно ж от галкується! Здрасьте. Добре утро, Степанна. Що це ви зутра вирішили поругатися? Так ви, яке діло? Іди і не балакай.
SPEAKER_03 | 0:9:11.945 --> 0:9:19.876 |  Бо я ще сьогодні розп'януся. Ви йдіть до своєї кімнати, і там куриць, і три пачки.
SPEAKER_04 | 0:9:18.661 --> 0:9:22.205 |  І там курить на три пачки.
SPEAKER_15 | 0:9:22.205 --> 0:9:23.82 |  Привіт, Валюсю!
SPEAKER_04 | 0:9:22.306 --> 0:9:25.90 |  Привіт, Валюсю. Що з вами всім зранняної співки?
SPEAKER_15 | 0:9:23.926 --> 0:9:26.508 |  Дякую вам всім зрання на співці. Виходною вже, вроді би.
SPEAKER_04 | 0:9:25.242 --> 0:9:27.487 |  Виходну вже, вроді би.
SPEAKER_15 | 0:9:27.487 --> 0:9:27.925 |  Привіт!
SPEAKER_04 | 0:9:27.925 --> 0:9:27.976 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:9:27.976 --> 0:9:31.840 |  Не спиться. Та хіба я артистка, щоб довідатися?
SPEAKER_15 | 0:9:28.837 --> 0:9:32.465 |  Не спиться. Хіба я артистка, щоб до обіду спати?
SPEAKER_03 | 0:9:32.465 --> 0:9:40.25 |  А тоді побудували сеть, яка схожа з об'єднанням виміщеного ковідного програму з ковідністю. Анна Бакова і це команда 112.
SPEAKER_15 | 0:9:33.865 --> 0:10:20.980 |  Працістка. Дивись, я от яблука, як гору. Що? Не подобається? Поклади. Я не зрозуміла. Це що, зараз дев'ять годин чи що? Звісно, дев'ять. А що таке? Йоптвою мать! А то й ти! Ти... Ти куди врешті закопила? Йоптвою мать! Свєта! Доча! Вставай бігом! Вже дев'ять часов! Вставай! Ми опоздали на автобус! І вставай, тому що ми давно не лягли. Ти засраний...
SPEAKER_08 | 0:10:20.373 --> 0:10:20.660 |  ДО СЕРДЦЯ!
SPEAKER_15 | 0:10:21.217 --> 0:10:53.414 |  Часи оці, стоять! Я ж просила тебе, щоб ти виставила будильник на телефоні! Бля, ну розрядився. Що? Розрядився. А чого ти не провірила вечором, скажи? Так я тільки у час ночі з Чернігова приїхала. Що б було? Так, це є, це сюди. Так, все. Ти що, сумашеча? Що ти робиш? Що ти там підключаєшся? Віддівайся, я тобі сказала! Господи!
SPEAKER_10 | 0:10:55.928 --> 0:10:55.945 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:10:55.945 --> 0:11:3.286 |  Що ж, все одно не встигаємо, в 9.8.50 виїжджаємо. Звісно, блядь, це ми нікуди не встигаємо, я вже буду чекати, поки воно підключиться.
SPEAKER_12 | 0:11:16.145 --> 0:11:22.540 |  Юр, чуєш? Спічки є?
SPEAKER_00 | 0:11:24.700 --> 0:11:24.886 |  Дякую за перегляд!
SPEAKER_08 | 0:11:24.886 --> 0:11:24.920 |  Субтитрувальниця Оля Шор
SPEAKER_00 | 0:11:24.920 --> 0:11:24.970 |  Субтитрувальниця Оля Шор
SPEAKER_08 | 0:11:24.970 --> 0:11:29.965 |  Субтитрувальниця Оля Шор
SPEAKER_00 | 0:11:29.965 --> 0:12:22.717 |  На, жінці подаруй. Культурна зазвичай скакає. Ах, хєрту мій.
SPEAKER_14 | 0:13:1.57 --> 0:14:45.142 |  Е, шо за цирк? Читай, будеш грамотний. Дякую за перегляд! Ало, Натульчик, привєт! Ага, познала? Ну шо там, як ділішки, мала? Шо, може, сходим де-то прошвернемся? Та як я тобі не брехав? Та, блин, ти просто, ну, просто ти так, ну, не так поняла мене. Бля, такий аборт, ти шо, шутиш? Та, відкуда ти взагалі знаєш, що це від мене?
SPEAKER_08 | 0:15:58.717 --> 0:15:59.37 |  Дякую!
SPEAKER_09 | 0:15:59.37 --> 0:15:59.257 |  Субтитрувальниця Оля Шор
SPEAKER_08 | 0:15:59.257 --> 0:15:59.375 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:15:59.375 --> 0:16:4.741 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:16:14.967 --> 0:16:15.187 |  Сука!
SPEAKER_15 | 0:16:38.52 --> 0:16:41.360 |  Я вже не можу. В мене голова крутиться.
SPEAKER_08 | 0:16:41.360 --> 0:16:42.524 |  Ха-ха-ха!
SPEAKER_15 | 0:16:42.524 --> 0:16:44.431 |  – Давай трохи станемо. – Як станемо?
SPEAKER_08 | 0:16:42.541 --> 0:16:43.64 |  Давай, друге.
SPEAKER_15 | 0:16:44.498 --> 0:17:44.33 |  Не даш хоч на Бурзнянський вискочить, давай до ця! Який Бурзнянський, ти шутиш? Він же чорт знаде! Ми же силимо! Слышиш? А я казала, що не треба було ту дурну вату статую брать! Це вже моє діло, що брать, понимаєш? Ми же все одно не спіймо цю тичу! Ми же завтра, га? Їх і завтра! Завтра мені на роботу! Баба нас прокляне, не даш спій! Судорожний! Ну що ж робити, а? Може, він ще не пройшов? А скільки зараз? Та вже 20 минут десятом. Він вже давно за місто виїхав. Вже ж півчаса, як він відправився. Ну що робити? Що робити? Вернутися додому. Ти що, яке вернутися? Треба ж якось доїхати.
SPEAKER_08 | 0:17:47.594 --> 0:17:48.33 |  Музика
SPEAKER_15 | 0:18:1.465 --> 0:18:20.95 |  Так сядь хочеться, я ж навіть в туалет не встигла сьогодні сходити. Ти йдемо в куфір. Так? Ну так, а що? Я теж так думаю. Ти не хочеш? Ні. Посмотри, щоб ніхто не йшов.
SPEAKER_03 | 0:19:12.661 --> 0:19:12.745 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:19:12.745 --> 0:19:13.167 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:19:13.167 --> 0:19:14.450 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:19:14.450 --> 0:19:37.298 |  Що? Кажу, куди їдемо, ленька? Далеко. Для мене далеко не буває. Особливо з такими красавицями, як ти. Ну то їдь собі, якщо не буває. Ну що ж так строго, а? Така красива, нежна дівчинка, а так різко відповідаєш. Що, грузимо речі?
SPEAKER_15 | 0:19:38.260 --> 0:19:39.914 |  Ти що, не зрозумів, що я нікуди не їду?
SPEAKER_14 | 0:19:47.423 --> 0:20:2.37 |  Звичайно, зрозумів. Сидиш тут на зупинці з сумками. Знаєш, по всьому видно, що позагорять пішла. Серйозно, я дорого не беру. А таку красавицю ти взагалі задешево завезеш.
SPEAKER_15 | 0:20:2.425 --> 0:20:4.163 |  Угу, а таксі де шо?
SPEAKER_14 | 0:20:4.332 --> 0:20:6.155 |  Так а що це що, космічна ракета?
SPEAKER_15 | 0:20:7.420 --> 0:20:8.264 |  Ні, спасибі.
SPEAKER_14 | 0:20:14.440 --> 0:20:33.830 |  От скажи, за що «спасіба»? Я ж тобі реально ще нічого не зробив. Слышь, мала, мені здається, що мене реально вже десь бачили.
SPEAKER_15 | 0:20:37.70 --> 0:20:38.335 |  Якщо кажете, то...
SPEAKER_14 | 0:20:39.297 --> 0:20:49.34 |  То шо? Їдь собі далі. Куди їдь? Сідай, завезу тебе куди треба. Тож не вкушу.
SPEAKER_15 | 0:20:52.21 --> 0:20:52.38 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:20:52.38 --> 0:21:0.627 |  Може, я чекаю когось? Чекаєш? Так. Хоч то так. Вчорашній день чи що ти чекаєш?
SPEAKER_15 | 0:21:2.62 --> 0:21:4.846 |  Через п'ять хвилин мій чоловік має під'їхати.
SPEAKER_14 | 0:21:4.846 --> 0:21:4.913 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:21:4.913 --> 0:21:5.32 |  Дякую.
SPEAKER_14 | 0:21:5.32 --> 0:21:5.82 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:21:5.82 --> 0:21:5.116 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:21:6.415 --> 0:21:14.60 |  Не сміши мене, муж. Разліше тата, щоб відвезти до бабусі на шкільні канікули.
SPEAKER_08 | 0:21:15.308 --> 0:21:15.697 |  Дякую.
SPEAKER_10 | 0:21:24.539 --> 0:21:24.978 |  Почтімо.
SPEAKER_15 | 0:21:24.978 --> 0:21:25.197 |  Так, так.
SPEAKER_10 | 0:21:25.197 --> 0:21:25.214 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:21:26.227 --> 0:21:28.808 |  Ти ще спрошов про тата чи про бабушку?
SPEAKER_15 | 0:21:30.732 --> 0:21:31.323 |  Про маму!
SPEAKER_14 | 0:21:32.723 --> 0:21:34.40 |  При чому тут мама взагалі?
SPEAKER_15 | 0:21:38.22 --> 0:21:46.156 |  Мам! Майо, їдемо на таксі. Я вже договорилася. За 100 гривень. 100 гривень? І чого так дорого?
SPEAKER_14 | 0:21:46.342 --> 0:21:49.497 |  Дорого? Так, хлопці, це ж дивляться, куди треба.
SPEAKER_15 | 0:21:49.970 --> 0:21:52.231 |  А як ти договаривалась, коли він не знає, куди їхати?
SPEAKER_14 | 0:21:52.619 --> 0:21:52.636 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:21:52.636 --> 0:21:53.24 |  Мені сказали, що я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не можу, я не
SPEAKER_14 | 0:21:53.24 --> 0:21:58.103 |  що за 100 гривень, куди вгодно довезе. Дівчата, це у нас такі шуточки, чи що?
SPEAKER_15 | 0:21:58.103 --> 0:22:8.836 |  Може, хоч чуточку скинете, а? Так яке скинете, Лісі? Я не знаю, куди їхать. Як це не знаєш? Мужчина, нам срочно потрібно до Припутнів. Так може скинете якусь двадцяточку, а?
SPEAKER_14 | 0:22:8.819 --> 0:22:15.400 |  Припутні. Яку двадцяточку? Це тридцять з копійками кілометрів. І якщо їхати, то тільки двісті після.
SPEAKER_15 | 0:22:15.940 --> 0:22:16.852 |  Що двісті п'ятдесят?
SPEAKER_14 | 0:22:16.970 --> 0:22:19.265 |  Ну що, 250 теж не доларів, гривень звісно.
SPEAKER_15 | 0:22:20.193 --> 0:22:25.981 |  До припутнів 250 гривень? Ви шо смієтесь? Так а шо? Шо обшиє кіно?
SPEAKER_14 | 0:22:25.171 --> 0:22:28.715 |  Це не близький путь. І в Міндзін, до речі, зараз не дешевіше.
SPEAKER_15 | 0:22:29.18 --> 0:22:32.900 |  Ну ви ж також ось за сто договорились, відкуда взялось десять і після? Та я пошутила.
SPEAKER_14 | 0:22:33.558 --> 0:22:37.760 |  Так, коротше, барышні, морочте голову комусь другому, хорошо?
SPEAKER_15 | 0:22:40.747 --> 0:22:45.522 |  Мам, бистро, предлагай двісті, то нормально. Мужчина, давайте за двісті.
