SPEAKER_04 | 0:1:24.136 --> 0:1:24.305 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:1:34.902 --> 0:1:44.167 |  Ядовіна, ядовіна, тримі, ядовіна, тримі.
SPEAKER_37 | 0:1:46.40 --> 0:1:46.495 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:1:46.495 --> 0:1:46.833 |  Субтитрувальниця Оля Шор
SPEAKER_37 | 0:1:46.833 --> 0:1:47.120 |  Дякую за перегляд!
SPEAKER_27 | 0:1:47.761 --> 0:2:31.788 |  Загадав? Загадав бажання. Там нанічка ори вкрила, по лунину все залила, а в ній постаєть сніжно-біла, кунцюк Сеню в ній пізнав.
SPEAKER_39 | 0:2:31.788 --> 0:2:50.401 |  Він дивився в очі сині, тихо спершись на соснині. Її слова палки любові, він до неї промовляв. Буцок Оксеньо.
SPEAKER_27 | 0:2:50.401 --> 0:5:12.809 |  Полонинська дитина, чорно-брова дівчина, Чому сила твоя в пташку жменю? Моє серце взяла ти, і не ласкава кохати. Чародійко моє, вже пройшло гаряче літо, Гуцулинчу любив скрито, а гуцулку чорно брову він востанньо ніж прощав. Вчора мосі грали хвилю, сумували очі си, тільки вітер на сосни сумну пісню виграв. Гуцуко Ксеню, полонинська дитина, чорну брова дівчина, в чому сила твоя? О, пташку в жменю моє серце взяла ти, не ласкава хора ти, ой, чародійко моя. Дякую за перегляд! Звучить музика.
SPEAKER_04 | 0:5:11.459 --> 0:5:12.438 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:5:13.231 --> 0:5:16.724 |  По воним стане тримав.
SPEAKER_04 | 0:5:13.298 --> 0:5:15.965 |  Субтитрувальниця Оля Шор
SPEAKER_37 | 0:5:15.965 --> 0:5:16.454 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:5:16.893 --> 0:5:19.913 |  Чорно проводить широ.
SPEAKER_00 | 0:5:17.129 --> 0:5:17.602 |  Новини на Суспільному. Харків.
SPEAKER_27 | 0:5:20.808 --> 0:5:24.149 |  В чому сила твоя, мокра?
SPEAKER_00 | 0:5:21.95 --> 0:5:23.812 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:5:24.267 --> 0:5:26.90 |  Субтитрувальниця Оля Шор
SPEAKER_00 | 0:5:24.757 --> 0:5:25.195 |  Дякую!
SPEAKER_27 | 0:5:26.461 --> 0:5:29.752 |  Моє серце золотим.
SPEAKER_00 | 0:5:26.663 --> 0:5:27.35 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:5:27.35 --> 0:5:27.52 |  Субтитрувальниця Оля Шор
SPEAKER_00 | 0:5:27.52 --> 0:5:28.975 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:5:30.140 --> 0:5:37.25 |  Євгенія Ласкава, Голландія! Чародій, Голландія!
SPEAKER_09 | 0:6:20.579 --> 0:6:29.118 |  Доброго ранку, пане професор! Доброго ранку, пане професор! Доброго ранку, пане професор! Як спалася? Вже так рано на метелиці. Що подати на свіданку? Хоча б, а може, яйце, може, гриль, може...
SPEAKER_00 | 0:6:21.608 --> 0:6:21.710 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:6:21.710 --> 0:6:24.275 |  — Доброго ранку, пане професор! — Доброго ранку, пане професор!
SPEAKER_11 | 0:6:26.975 --> 0:6:28.257 |  А може, ясно?
SPEAKER_24 | 0:6:28.645 --> 0:6:28.662 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:6:28.662 --> 0:6:28.713 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:6:28.713 --> 0:6:29.894 |  Чекайте, чекайте.
SPEAKER_11 | 0:6:29.118 --> 0:6:29.219 |  Дякую!
SPEAKER_24 | 0:6:30.552 --> 0:6:34.12 |  Не всі і не все на раз. По черзі. По-перше, добрий день.
SPEAKER_11 | 0:6:34.79 --> 0:6:35.378 |  Добрий день.
SPEAKER_24 | 0:6:35.463 --> 0:6:56.607 |  По-друге, дякую, спалося мені добре. По-третє, це вже не так і рано, вже восьма година ранку. А по-четверте, що то було? А, сніданок. Отже, прошу мені дати, як звичайно.
SPEAKER_04 | 0:6:56.810 --> 0:6:57.113 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:6:57.113 --> 0:6:57.147 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:6:57.923 --> 0:7:2.699 |  склянку козячого молока і розовий хлібець із маслом.
SPEAKER_09 | 0:7:2.193 --> 0:7:4.117 |  Я сьогодні свіженький рухалик.
SPEAKER_24 | 0:7:4.741 --> 0:7:11.795 |  О, ні, нема того, як розовий хлібець, він так то є добре регулює мій шлунок.
SPEAKER_09 | 0:7:11.457 --> 0:7:17.93 |  На хвилину, пане професоре, козяче молоко, пирозовий хлібець із маслом.
SPEAKER_26 | 0:7:17.93 --> 0:7:17.110 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:7:19.456 --> 0:7:33.158 |  Це є рідкісний вид метеликів, що складають свої яйця на хвостах овець.
SPEAKER_11 | 0:7:33.91 --> 0:7:40.229 |  Дрошу дуже молоко. Щойно здоїли козу, ще тепле. І разовий хлібець щойно спечить. А масло ще пахне полониною.
SPEAKER_24 | 0:7:40.533 --> 0:7:42.237 |  Поставте на хвостах увець.
SPEAKER_11 | 0:7:42.457 --> 0:7:44.347 |  Поставити на хвостах овець.
SPEAKER_26 | 0:7:44.347 --> 0:7:44.414 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:7:45.325 --> 0:7:48.59 |  Прошу вибачення. Поставте тут.
SPEAKER_09 | 0:7:49.223 --> 0:7:53.611 |  Дозвольте запитати, пане професор, як поступає ваша диссертація про гірські метелики?
SPEAKER_24 | 0:7:54.387 --> 0:8:0.243 |  Дякую. Добре. Доходжу вже до наукового ствердження про існування…
SPEAKER_27 | 0:8:0.445 --> 0:8:0.682 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:8:1.407 --> 0:8:10.64 |  Папіонібус коетус мандейн – гірських метеликів, які зносять свої яйця на хвостах овець.
SPEAKER_11 | 0:8:11.77 --> 0:8:18.198 |  Професора, ви геніальний біолог. Чи не могли б ви науково пояснити, куди останнім часом зникають вівці з нашої полонини?
SPEAKER_24 | 0:8:19.413 --> 0:8:21.235 |  Зникають віпці? Куди?
SPEAKER_11 | 0:8:21.556 --> 0:8:24.188 |  Невідомо куди, вівчарі кажуть, зникають собі кудись.
SPEAKER_24 | 0:8:25.403 --> 0:8:27.968 |  Дуже цікаво.
SPEAKER_11 | 0:8:28.559 --> 0:8:32.373 |  Пане професоре, а вам уже вдалося піймати, бодай, одного метелика такого роду?
SPEAKER_24 | 0:8:32.744 --> 0:8:35.5 |  Ні, не маю щастя.
SPEAKER_26 | 0:8:35.815 --> 0:8:38.853 |  Зате, кохані, мало щастя? Признайтесь.
SPEAKER_24 | 0:8:39.832 --> 0:8:47.341 |  Сьо… Та що ви? Я вже раз був женатим.
SPEAKER_26 | 0:8:47.662 --> 0:8:48.235 |  Померла.
SPEAKER_24 | 0:8:48.809 --> 0:8:50.395 |  Ні, втекла до Америки.
SPEAKER_26 | 0:8:50.716 --> 0:8:51.408 |  З другим.
SPEAKER_24 | 0:8:51.610 --> 0:8:55.694 |  Стретін. Другий птік видноє.
SPEAKER_04 | 0:8:56.251 --> 0:8:56.437 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:9:2.562 --> 0:9:11.50 |  Щиро дякую за сніданок. Ну, іду знову на полонину. Може, сьогодні більше пощастить.
SPEAKER_07 | 0:9:16.535 --> 0:9:19.100 |  Оригінал. Дивак, як і кожний вчений.
SPEAKER_26 | 0:9:19.741 --> 0:9:22.981 |  Ні, як той, що не має жінки.
SPEAKER_07 | 0:9:22.981 --> 0:9:23.200 |  Субтитрувальниця Оля Шор
SPEAKER_26 | 0:9:23.200 --> 0:9:23.268 |  Субтитрувальниця Оля Шор
SPEAKER_00 | 0:9:57.558 --> 0:10:0.747 |  Вибачте мене! Вибачте мене!
SPEAKER_08 | 0:10:9.961 --> 0:10:13.893 |  Є пане із оселі, говерлою зветься знай.
SPEAKER_37 | 0:10:12.121 --> 0:10:12.880 |  Верло Йосипович!
SPEAKER_08 | 0:10:14.602 --> 0:10:21.959 |  Знай, знай, гостей ми усіх приймаємо, цей наш Карпатський рай.
SPEAKER_00 | 0:10:18.466 --> 0:10:20.525 |  Ми усіх приймаємо цей
SPEAKER_08 | 0:10:22.752 --> 0:10:25.351 |  Рай, рай.
SPEAKER_09 | 0:10:25.351 --> 0:10:25.368 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:10:30.481 --> 0:10:31.612 |  Добрий день, панечки.
SPEAKER_09 | 0:10:31.645 --> 0:10:33.215 |  Добрий день, пане директоре!
SPEAKER_19 | 0:10:33.63 --> 0:10:33.890 |  Ніхто не приїхав?
SPEAKER_09 | 0:10:33.890 --> 0:10:36.927 |  Тільки пан професор наш сталиїст. Більше нікого.
SPEAKER_19 | 0:10:37.923 --> 0:10:47.812 |  Не жмуріться, мої кохані, ще не кінець сезону. Моя невіжка Павлінця хай з Богом спочиває. Все мені казала, Івасю, голова до гори, все буде добре.
SPEAKER_08 | 0:10:46.630 --> 0:10:56.13 |  Тому задушно у місті, клопотів повен міг. Пакуй своє лентє, брате, ми ждем вас тут усіх.
SPEAKER_19 | 0:10:56.890 --> 0:10:59.725 |  Скажу вам, в нашій оселі скоро місця не стане.
SPEAKER_26 | 0:10:59.995 --> 0:11:4.315 |  Вчора було, що місця не стало. І що з того? Прибутку нуль.
SPEAKER_19 | 0:11:4.450 --> 0:11:16.972 |  Зрозуміло, прибутку нуль про наші гуцули замало пів, але ось, дивіться, що я маю. Рекламу я зробив прекрасну, чисто по-американськи. Так що, скоро про нас роззнають.
SPEAKER_26 | 0:11:16.972 --> 0:11:18.625 |  Уважень, невіруючи.
SPEAKER_19 | 0:11:19.283 --> 0:11:29.948 |  І я певен, незабаром наша оселя заживе таким життям, що… Що ж це Ксенія так довго не має? Вона одна здається вірить у щасливу зірку нашої оселі.
SPEAKER_08 | 0:11:42.892 --> 0:11:57.978 |  Жонатий чертовичка, дівчатський кавалер. Тут знайде і молодичка чудесний елексір. І оді досі вторічний заграє в жилокров.
SPEAKER_19 | 0:12:0.188 --> 0:12:0.222 |  Субтитрувальниця Оля Шор
SPEAKER_08 | 0:12:0.222 --> 0:12:3.833 |  Дивіться, гості йдуть.
SPEAKER_19 | 0:12:0.273 --> 0:12:10.212 |  Віця, гості йдуть. А я казав. Пані, готуйтеся.
SPEAKER_27 | 0:12:11.208 --> 0:12:11.562 |  Дякую!
SPEAKER_19 | 0:12:11.562 --> 0:12:11.630 |  Дякую!
SPEAKER_27 | 0:12:11.630 --> 0:12:12.136 |  Дякую!
SPEAKER_19 | 0:12:12.136 --> 0:12:13.283 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 0:12:13.283 --> 0:12:35.137 |  Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів. Завчатую чотири знімальні кілька разів.
SPEAKER_37 | 0:12:36.385 --> 0:12:37.347 |  Ла-ла-ла!
SPEAKER_22 | 0:12:42.865 --> 0:12:59.32 |  Я радий вас вітати. Дозвольте познайомитись. Майк Деделюк, бізнесмен з Нью-Йорку. А це мій небіж, Яро. Добрий день. А це мисис Гелен. Та її дочка, Мері.
