SPEAKER_16 | 0:1:31.578 --> 0:1:33.29 |  Дякую!
SPEAKER_02 | 0:5:9.46 --> 0:5:14.969 |  Що, готовий? Давай постріляємо.
SPEAKER_11 | 0:5:21.331 --> 0:5:27.35 |  Трива дванадцять.
SPEAKER_07 | 0:5:27.35 --> 0:5:27.929 |  Готовий? Готовий.
SPEAKER_11 | 0:5:27.929 --> 0:5:27.946 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:5:32.418 --> 0:5:32.435 |  Субтитрувальниця Оля Шор
SPEAKER_20 | 0:5:32.435 --> 0:5:32.840 |  Час!
SPEAKER_07 | 0:5:32.840 --> 0:5:44.450 |  Три п'ятдесят дев'ять. Ну, давай. Давай порізно. Готовий? Так.
SPEAKER_11 | 0:5:50.609 --> 0:5:51.436 |  Чотири вісімнадцять.
SPEAKER_20 | 0:6:1.730 --> 0:6:2.843 |  Готовий? Готовий.
SPEAKER_05 | 0:6:7.45 --> 0:6:9.357 |  Зараз! Три-два!
SPEAKER_20 | 0:6:13.289 --> 0:6:25.557 |  Молодець, Іллінка. Ну шо, поживаєшся? Давай! Давай! З центру вправо, з центру вліво! Готовий? Готовий! Євас, сука!
SPEAKER_22 | 0:6:39.40 --> 0:6:45.470 |  Готовий? Завдання! Перша, третя, сьома, п'ята в довільному порядку. Пішов!
SPEAKER_20 | 0:6:55.612 --> 0:7:11.35 |  Нічого. Завдання! Справа в центр, з лівого в центр. Починаєш справа. Готовий, блядь? Да. Готовий? Да. Готовий? Їб...
SPEAKER_21 | 0:7:21.346 --> 0:7:30.796 |  Друга, шоста, восьма, ціль, стріляємо в довільному порядку.
SPEAKER_20 | 0:7:33.833 --> 0:7:33.901 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:7:33.901 --> 0:7:33.918 |  Субтитрувальниця Оля Шор
SPEAKER_20 | 0:7:33.918 --> 0:7:42.997 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_21 | 0:7:47.114 --> 0:7:47.215 |  Новини на Суспільному. Харків.
SPEAKER_16 | 0:7:51.974 --> 0:7:57.998 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_05 | 0:8:28.525 --> 0:8:36.693 |  Присядь, Вікручень, шо, булить? О, булить, блядь.
SPEAKER_02 | 0:8:36.693 --> 0:8:36.710 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:8:43.696 --> 0:8:45.215 |  Ти завтра на роботу хоч вийдеш?
SPEAKER_11 | 0:8:52.690 --> 0:9:32.617 |  Та заєбала та робота з тими роботниками. Ходять, дивляться, як на звіра, блядь. Говорюють поза очі. На війну йшов, думав, хоча зміниться, блядь. А хір, блядь, в них все рівно в голові, блядь, ковбаса по 2,20. І царя їм, блядь, давай. Спочатку хотів перестріляти те все. Потім зрозумів, що було легше самому зникнути.
SPEAKER_13 | 0:9:36.768 --> 0:9:37.544 |  що знову краєю.
SPEAKER_11 | 0:9:41.628 --> 0:9:45.307 |  Та піздець, я там на пайку спав останнім разом.
SPEAKER_13 | 0:9:52.563 --> 0:9:53.120 |  Подай, подай.
SPEAKER_11 | 0:10:25.975 --> 0:10:30.970 |  Патрони знову х**юють. Малі патрони.
SPEAKER_05 | 0:10:30.970 --> 0:10:30.987 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:13:15.198 --> 0:13:19.973 |  Драйвіть старий, осторожній, херня вчора вийшла.
SPEAKER_11 | 0:13:19.973 --> 0:13:55.495 |  Вибачай. Та забудь, сам вальний. Як ти себе почуваєш? Хіру, знову не визбався. Все зрукували це. Прибивали те з комбінату. Вже дах їде. Куди нам тут валити? Може кудись найманцем і поїду. Знову будем єбашити. Там хоч якийсь сенс є на те, що тут. Тобі контузії мало? Знову кров до смерті. Ладно, давай до роботи.
SPEAKER_06 | 0:14:55.705 --> 0:15:20.275 |  Що це за робота? Що це за халтура? Я 40 років тут працюю, такого ще не бачу. Куди це годиться? Хто такий шов кладе? Я ж раніше нормально варив. Переробляєш все. І не жалій електродів. Шов кладе товст. Йду перевірю.
SPEAKER_00 | 0:24:41.572 --> 0:24:48.642 |  Ви, ваші батьки і ваші батьки працюють довго і важко, щоб продовжити достатньо добре життя для вашої родини.
SPEAKER_08 | 0:24:48.794 --> 0:24:55.358 |  Ви, ваші батьки, ваші діди працювали багато та тяжко для того, щоб забезпечити своїм родинам гідне життя.
SPEAKER_00 | 0:24:55.932 --> 0:24:59.425 |  Ви виробляли такий стіл, який виробляється по всьому світу.
SPEAKER_08 | 0:24:59.712 --> 0:25:3.374 |  Ви виготовляли високоякісний метал, який купував увесь світ.
SPEAKER_00 | 0:25:4.66 --> 0:25:6.57 |  You delivered the old Ukraine.
SPEAKER_08 | 0:25:6.462 --> 0:25:8.555 |  викували тогочасну Україну.
SPEAKER_00 | 0:25:9.398 --> 0:25:11.2 |  Часи змінюються.
SPEAKER_08 | 0:25:11.170 --> 0:25:12.453 |  Проте часи змінюються.
SPEAKER_00 | 0:25:12.925 --> 0:25:14.984 |  And everything has a beginning and an end.
SPEAKER_08 | 0:25:14.984 --> 0:25:17.498 |  Усе має свій початок і має свій кінець.
SPEAKER_00 | 0:25:17.498 --> 0:25:24.890 |  І сьогодні мій жахливий працівник, щоб сказати вам, що ці великі роботи закінчують для реконструкції.
SPEAKER_08 | 0:25:25.193 --> 0:25:30.712 |  І сьогодні я із сумом маю вас повідомити, що цей завод буде закритий на реконструкцію.
SPEAKER_00 | 0:25:31.690 --> 0:25:37.57 |  Так, так, я розумію, я розумію вашу оборону, але, насправді, немає вибору.
SPEAKER_08 | 0:25:31.724 --> 0:25:39.841 |  Я розумію, що ви схвильовані, але іншого виходу немає.
SPEAKER_00 | 0:25:41.123 --> 0:25:42.625 |  New times are upon us.
SPEAKER_08 | 0:25:42.845 --> 0:25:44.60 |  Прийшли нові часи.
SPEAKER_00 | 0:25:44.583 --> 0:25:47.671 |  New technologies make the old ways redundant.
SPEAKER_08 | 0:25:47.671 --> 0:25:51.181 |  З появою нових технологій працювати по-старому вже не можна.
SPEAKER_00 | 0:25:51.502 --> 0:25:54.843 |  Але ці нові технології додають нові можливості.
SPEAKER_08 | 0:25:54.910 --> 0:25:58.83 |  Проте з новими технологіями приходять і нові можливості.
SPEAKER_00 | 0:25:58.555 --> 0:26:2.993 |  І разом ми пропонуємо працювати за новим майбутнім.
SPEAKER_08 | 0:26:3.230 --> 0:26:7.313 |  І ми разом хочемо працювати з вами на Дар'ї над новим майбутнім.
SPEAKER_00 | 0:26:7.583 --> 0:26:10.553 |  Компетитивна Україна, ярка Україна.
SPEAKER_08 | 0:26:10.823 --> 0:26:14.249 |  Краща Україна, більш конкурентно здатна Україна.
SPEAKER_00 | 0:26:14.435 --> 0:26:18.147 |  Отже, не тільки згодомося про майбутнє,
SPEAKER_08 | 0:26:18.468 --> 0:26:21.505 |  Тому давайте не просто цінувати досягнення минулого,
SPEAKER_00 | 0:26:21.758 --> 0:26:24.728 |  Так, там був герой-спирит минулого часу.
SPEAKER_08 | 0:26:25.66 --> 0:26:28.340 |  Ми можемо взяти героїчні здобутки нашої минущини.
SPEAKER_00 | 0:26:28.188 --> 0:26:30.449 |  Зараз підтверджуємо нову технологію.
SPEAKER_08 | 0:26:30.398 --> 0:26:33.335 |  Але давайте приєднаємо це до новітніх технологій.
SPEAKER_00 | 0:26:33.487 --> 0:26:37.368 |  And let's celebrate the new future together.
SPEAKER_08 | 0:26:37.452 --> 0:26:41.131 |  І давайте зараз відсвяткуємо прихід нового майбутнього.
SPEAKER_00 | 0:26:41.502 --> 0:26:43.325 |  So, thank you. Let's drink.
SPEAKER_08 | 0:26:43.882 --> 0:26:45.603 |  Дякую, давайте святкувати!
SPEAKER_03 | 0:27:34.878 --> 0:27:48.412 |  Дякую за перегляд!
SPEAKER_07 | 0:27:48.412 --> 0:27:55.229 |  Ходи ж діватись. Ой, то не кажи. Ніхто сюди не буде вкладати гроші, я тобі скажу.
SPEAKER_16 | 0:27:55.887 --> 0:27:56.90 |  Дякую!
SPEAKER_07 | 0:27:56.326 --> 0:28:7.25 |  І що б вони там не казали в Америці, вони ж нічого не закривають. Вони ж комбінати працюють. Вони позбуваються конкурентів. І що б вони не розказували, воно все може приносити прибуток.
SPEAKER_04 | 0:28:7.25 --> 0:28:7.362 |  Замість.
