SPEAKER_49 | 0:0:7.338 --> 0:0:32.954 |  Ой летіли журавлі, сіли собі край ріллі. Сіли собі край ріллі, заспівали трай-ляй-ляй-лі.
SPEAKER_31 | 0:1:7.767 --> 0:1:15.23 |  Дай святиться поле твоє, наорожай рабам твоїм, хліб із нього і ящем. Бачу їй без благословення, багато наслідків.
SPEAKER_30 | 0:1:15.23 --> 0:1:15.142 |  Музика
SPEAKER_31 | 0:1:15.142 --> 0:1:15.563 |  Дякую.
SPEAKER_30 | 0:1:15.563 --> 0:1:29.789 |  То так, пан, паноч, всі те насіяли, а який то врожай буде. Добре дерево і плід, де є добре насіння. Не дано знати, в який ґрунт трапиться насіння. Одне зерно під камінь,
SPEAKER_31 | 0:1:24.18 --> 0:1:24.35 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:1:24.35 --> 0:1:24.85 |  Дякую!
SPEAKER_31 | 0:1:24.85 --> 0:1:24.440 |  Є, є, є.
SPEAKER_00 | 0:1:24.440 --> 0:1:24.457 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:1:30.329 --> 0:1:44.875 |  Друге на камінь, третє у воду, четверте птах небесний визбирає. Тільки де сьоме, восьме проросте, і те пустоцвітом.
SPEAKER_34 | 0:1:44.875 --> 0:1:45.95 |  Дякую за перегляд!
SPEAKER_49 | 0:1:45.95 --> 0:1:45.196 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:1:45.196 --> 0:1:45.989 |  Може стати.
SPEAKER_49 | 0:1:45.247 --> 0:1:50.444 |  Може, стати.
SPEAKER_07 | 0:2:36.682 --> 0:2:37.222 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:2:40.985 --> 0:2:45.524 |  Ти чув, як на дві держави мій півень співає?
SPEAKER_29 | 0:2:44.292 --> 0:2:47.93 |  До біса держави!
SPEAKER_12 | 0:2:49.85 --> 0:3:1.184 |  Залиш мене, краще стережи свій кордон, а то розтягну твою державу мішками. Віна, ламіна. Та ти ж на посту.
SPEAKER_04 | 0:3:1.842 --> 0:3:2.568 |  Ха-ха-ха!
SPEAKER_07 | 0:3:2.585 --> 0:3:2.635 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:3:2.635 --> 0:3:2.652 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:3:2.652 --> 0:3:2.669 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:3:2.669 --> 0:3:2.686 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:3:2.686 --> 0:3:2.753 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:3:2.753 --> 0:3:3.850 |  Він!
SPEAKER_25 | 0:3:12.102 --> 0:3:12.743 |  Приніс.
SPEAKER_11 | 0:3:13.958 --> 0:3:16.456 |  Дармоїді!
SPEAKER_30 | 0:3:16.456 --> 0:3:27.172 |  За твої будильники сьогодні мала дали шість фунтів чучуну А мені зовсім пустив кукурудзі на один зуб
SPEAKER_29 | 0:3:27.172 --> 0:3:27.205 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:3:27.205 --> 0:3:27.982 |  Тьфу!
SPEAKER_29 | 0:3:27.982 --> 0:3:32.875 |  Вставайте, годі спати, вставайте, вставайте.
SPEAKER_25 | 0:3:34.867 --> 0:3:40.334 |  Ну, гляди, старий, якщо ще раз прийдеш порожній, іншого знайду.
SPEAKER_29 | 0:3:41.363 --> 0:3:41.380 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:3:41.380 --> 0:3:49.193 |  Найду, найду. Ти бачиш, Боже, скільки їх.
SPEAKER_02 | 0:3:55.184 --> 0:4:5.39 |  Ну, продам я їх! Їй Богу, продам!
SPEAKER_44 | 0:4:9.848 --> 0:4:10.827 |  Дякую.
SPEAKER_07 | 0:4:11.232 --> 0:4:11.283 |  Субтитрувальниця Оля Шор
SPEAKER_44 | 0:4:11.283 --> 0:4:22.707 |  Пусть вставайте, браття, бо вже біла днина.
SPEAKER_45 | 0:4:20.58 --> 0:4:20.75 |  Дякую!
SPEAKER_44 | 0:4:23.332 --> 0:4:36.308 |  Принесімо добрим людям щасливу годину. Принесімо добрим людям щасливу годину.
SPEAKER_30 | 0:4:52.542 --> 0:5:31.169 |  Файні та любі та намальовані, хто жениться чи видається, наймайте найліпших музик на всі гори і доли дзвонарів. І на вашому весіллі буде стільки гостей, як трави та листу в наших горах. Хора, фаені та гречні, газди і гастині, якщо ви хочете справити своїй дитині гучні христини.
SPEAKER_07 | 0:5:31.827 --> 0:5:32.249 |  Хе-хе.
SPEAKER_30 | 0:5:33.768 --> 0:5:45.479 |  Візьміть з цих прославлених музеїв і у вас буде стільки гостей, як у морі піску.
SPEAKER_31 | 0:5:48.635 --> 0:5:54.845 |  Лесю, може, ти мені віддаш котрось до господарства? За плату не будем торгуватись.
SPEAKER_30 | 0:5:54.845 --> 0:5:54.963 |  Дякую!
SPEAKER_31 | 0:5:54.963 --> 0:5:55.30 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:5:55.30 --> 0:5:55.975 |  Три з вас лізають за...
SPEAKER_31 | 0:5:55.975 --> 0:5:56.26 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:5:56.26 --> 0:5:56.532 |  Дякуємо за перегляд!
SPEAKER_24 | 0:6:4.8 --> 0:6:5.138 |  Дякую.
SPEAKER_07 | 0:6:5.948 --> 0:6:6.590 |  Дякую.
SPEAKER_24 | 0:6:6.590 --> 0:6:8.176 |  Ніхто не вірить.
