SPEAKER_20 | 0:0:36.363 --> 0:0:38.658 |  Незаборонені речі, наркотики.
SPEAKER_09 | 0:0:38.793 --> 0:0:39.485 |  Ні, немає.
SPEAKER_20 | 0:0:41.375 --> 0:0:42.235 |  Валюту ввозити.
SPEAKER_09 | 0:0:42.505 --> 0:0:43.231 |  Небагато.
SPEAKER_20 | 0:0:43.788 --> 0:0:48.682 |  Небагато – це не відповідь. Будь ласка. Скільки було в Італії?
SPEAKER_09 | 0:0:49.154 --> 0:0:50.268 |  Два роки, трохи більше.
SPEAKER_20 | 0:0:52.57 --> 0:0:53.86 |  Паспорт.
SPEAKER_18 | 0:0:56.562 --> 0:1:0.528 |  Так, так, так. Чекайте, чекайте, чекайте.
SPEAKER_19 | 0:1:3.515 --> 0:1:12.172 |  Вітаємо в Україні! Наступне. Вічиня.
SPEAKER_02 | 0:1:30.430 --> 0:2:7.83 |  Ну що, я вас вітаю. У вас вагітність – десять тижнів. Вставайте. Прошу. Я не бачу у вас жодної патології. Все проходить нормально. Зважаючи на ваш вік, це просто диво. Але менш з тим. Я категорично забороняю вам хвилюватися. Нічого важкого не піднімаємо. Відпочиваємо, гуляємо. Ви прекрасно розумієте, що в вашому стані і в вашому віці потрібно якомога більше відпочивати. Ну, а при найменших симптомах одразу до мене. Це ясно?
SPEAKER_09 | 0:2:10.947 --> 0:2:15.976 |  Я зараз не можу, у мене робота в Італії, можна мені аборт?
SPEAKER_02 | 0:2:22.287 --> 0:2:22.912 |  Вирішуй.
SPEAKER_06 | 0:3:33.753 --> 0:3:41.988 |  Пані Марія, слава Ісусу! Ну, віки слава! Якся майта? Харасі майма, добри майма, усе, Господь, да, Бог помахай.
SPEAKER_09 | 0:3:41.988 --> 0:3:43.220 |  Найбільше має.
SPEAKER_24 | 0:3:49.480 --> 0:4:6.85 |  Ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай-ай
SPEAKER_22 | 0:4:31.398 --> 0:4:31.972 |  Добрий день!
SPEAKER_09 | 0:4:32.478 --> 0:4:35.431 |  Добрий день, Михасю. – З приїздом в вас. – Дякую.
SPEAKER_13 | 0:4:35.819 --> 0:4:43.75 |  Дарина, а я все думаю, хто б то міг бути, чи то Галка моя, чи Дарина.
SPEAKER_09 | 0:4:43.160 --> 0:4:43.615 |  Ааа...
SPEAKER_13 | 0:4:43.767 --> 0:4:46.180 |  Дякую. Бачите, скільки там, а що ніяк не проїде?
SPEAKER_09 | 0:4:46.433 --> 0:4:52.188 |  Та бо тяжко робить. Але тобі великі вітання передавала, ти й до вітання щось має. – Ага. – Зайдеш?
SPEAKER_22 | 0:4:51.395 --> 0:4:52.795 |  Ага. Так? Ага.
SPEAKER_09 | 0:4:52.795 --> 0:4:53.167 |  А?
