SPEAKER_09 | 0:0:57.963 --> 0:1:4.763 |  Субтитрувальниця Оля Шор
SPEAKER_17 | 0:1:4.966 --> 0:1:5.270 |  Дякую!
SPEAKER_09 | 0:1:5.270 --> 0:1:7.582 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_17 | 0:1:5.742 --> 0:1:8.780 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_09 | 0:1:9.877 --> 0:1:10.973 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_17 | 0:1:10.973 --> 0:1:11.918 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:1:11.24 --> 0:1:17.167 |  Папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа, папа
SPEAKER_17 | 0:1:17.707 --> 0:1:22.27 |  Оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-оп-
SPEAKER_26 | 0:1:22.229 --> 0:1:24.440 |  Ні, моя.
SPEAKER_05 | 0:1:23.798 --> 0:1:27.207 |  Хопа! Хопа!
SPEAKER_26 | 0:1:25.216 --> 0:1:25.722 |  Дякую!
SPEAKER_05 | 0:1:27.967 --> 0:1:31.544 |  Дивися мені.
SPEAKER_12 | 0:1:28.17 --> 0:1:39.205 |  Ви ще мені? А туфлю хто понесе? За час! Забирай, забирай, забирай.
SPEAKER_06 | 0:1:40.336 --> 0:1:46.462 |  Дякую за перегляд!
SPEAKER_09 | 0:1:46.462 --> 0:1:46.799 |  Дякую!
SPEAKER_16 | 0:3:3.226 --> 0:3:31.424 |  Ой, господи, ти шо-то робиш. Давай, Микола. Так, літкий листок. Сідай тут і пісню співай голосно, поняла? Ассо. Давай, не дивись!
SPEAKER_26 | 0:3:32.723 --> 0:3:33.314 |  Ювай!
SPEAKER_27 | 0:3:35.525 --> 0:3:43.220 |  Олені, олені, на бриці і на голені, дивні створіння, у них мозків торчать хворіння.
SPEAKER_09 | 0:3:42.207 --> 0:3:43.0 |  Дякую!
SPEAKER_27 | 0:3:43.557 --> 0:3:46.274 |  Олень, Олень, міхай не брить.
SPEAKER_09 | 0:3:49.632 --> 0:6:11.348 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа Субтитрувальниця Оля Шор Субтитрувальниця Оля Шор Дякую. Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_11 | 0:6:12.74 --> 0:6:18.82 |  Ти що, даду? Хоч мені? Ну як оце з бабою було? Ще де вночі була? З ким шлялася? З ким шлялася?
SPEAKER_09 | 0:6:16.310 --> 0:6:17.862 |  Їм шлялось!
SPEAKER_11 | 0:6:18.436 --> 0:6:44.474 |  Зо тим наркоманом-бандитом, да? З ким хочу з тебе шляти? Що люди скажуть? Воно в тюрмі сиділо! Ти мене перед сусідами позориш? Та ніде він не сидів! Ти дура, що всіх слухаєш! Відкрий! Я тобі дам! Ану відкрий! Зраза ти така! Я тобі дам дуру зараз! Сама дура! Я тобі дам! Лариса! Лариса! Літочко моє, сонечко, не плачеш?
SPEAKER_08 | 0:6:45.892 --> 0:6:53.333 |  Пішли! Я комусь казала, давай руку, давай руку, пішли! Але, Віточка, не плачу, чуєш?
SPEAKER_07 | 0:6:58.430 --> 0:7:3.965 |  Віточко! Сонечко моє, не плач! Чуєш? Зайчко моє! Сонечко моє!
SPEAKER_09 | 0:7:3.965 --> 0:7:11.812 |  Пустив мене! Пустив мене! Пусти! Пусти! Пусти!
SPEAKER_11 | 0:7:14.849 --> 0:7:21.970 |  Вітка, стій! Вітка, стій, а ну стій! Кому сказала машини? Їдуть!
SPEAKER_12 | 0:7:22.38 --> 0:7:22.527 |  Пиня!
SPEAKER_03 | 0:7:22.527 --> 0:7:22.814 |  Дякую!
SPEAKER_12 | 0:7:22.814 --> 0:7:31.454 |  Забери дитину, сказав! Забери дитину! Заспокойся! Санко, заспокойся, це ж дитина!
SPEAKER_03 | 0:7:24.704 --> 0:7:25.750 |  Я зараз дитину!
SPEAKER_11 | 0:7:26.37 --> 0:7:26.476 |  Дякуємо!
SPEAKER_12 | 0:7:31.538 --> 0:7:32.602 |  Як ти до них дієш?
SPEAKER_11 | 0:7:32.821 --> 0:7:37.681 |  Ой, Бортяно забере своїх мерзопакусних головорізів.
SPEAKER_21 | 0:7:38.508 --> 0:7:47.47 |  Німа. Ми твоїх не шануємо. Шануєте моїх. А де тим, кого ми не зачепимо, тим більш твою. Ха, тримай коник.
SPEAKER_08 | 0:7:49.915 --> 0:7:52.362 |  Діду, ось час набилося, що робити?
SPEAKER_21 | 0:7:52.767 --> 0:7:57.712 |  Що робити? Бери його, води з мамкою, вона поїсть, потім приїдете.
SPEAKER_03 | 0:7:58.690 --> 0:8:2.116 |  Хава, хава, хава, соль, соль, соль.
SPEAKER_17 | 0:8:2.875 --> 0:8:9.237 |  Викинь! Ах ти ж! Стій! Ах ти, брудяже дитина! Стій, я! Нариса!
SPEAKER_16 | 0:8:14.738 --> 0:8:51.357 |  Лізь давай. Що давай? Давай лізь. Що я? Давай, допомогай. Допомоги. Прекрасно. Що ти там робиш? Що ти тут робиш? Що ти робиш? А я тут роблю. В мене баба така. А чого? Чого? Того, що ми вчора поздно прийшли. Слухайте, дівчата, мені треба його зручно побачити. Чуєте? Він сьогодні уїжджає. Що робити? Ось у гвозді. Бачиш? Баба забула.
SPEAKER_14 | 0:8:49.805 --> 0:8:50.294 |  Ось у хвості.
SPEAKER_16 | 0:8:55.593 --> 0:9:2.562 |  Настя, так приєднуйся з кого-то, а не польза, не вреда. Давай, допомагай. Ну що, допомагай? Зараз.
SPEAKER_07 | 0:9:2.562 --> 0:9:13.784 |  Молодець, молодець, молодець, зараз я. Відкривай! Ти що? Все, все, снилась?
SPEAKER_09 | 0:9:13.244 --> 0:9:13.700 |  Дякую!
SPEAKER_07 | 0:9:14.932 --> 0:9:19.977 |  Тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо,
SPEAKER_16 | 0:9:19.977 --> 0:9:20.517 |  Дякую за перегляд!
SPEAKER_07 | 0:9:20.517 --> 0:9:21.479 |  Він вже малий.
SPEAKER_14 | 0:9:22.829 --> 0:9:26.356 |  Ти йди давай! Настя, ти шо ненормальна? Ну це ж дитина.
SPEAKER_07 | 0:9:26.558 --> 0:9:26.862 |  Дякую!
SPEAKER_14 | 0:9:27.942 --> 0:9:33.443 |  Сонечко, іди до мене, чуєш? Щасно тебе відправимо до Баби Єри. Пішли, пішли.
